ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,label
-80,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-89,-120,-79,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-91,-120,-120,-120,-120,-120,-120,2
-91,-86,-81,-76,-91,-120,-120,-120,-120,-120,-120,2
-96,-85,-71,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-75,-89,-120,-120,-120,-120,-120,-120,2
-120,-120,-79,-120,-120,-120,-120,-120,-120,-120,-120,2
-83,-86,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-77,-89,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-98,-120,-120,-120,-120,2
-120,-120,-120,-120,-89,-120,-120,-120,-120,-120,-120,2
-80,-86,-81,-78,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-94,-120,-120,-120,-120,2
-120,-120,-70,-120,-120,-120,-120,-120,-120,-120,-120,2
-83,-86,-120,-77,-92,-120,-120,-120,-120,-120,-120,2
-83,-86,-82,-79,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-90,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,-120,2
-78,-76,-62,-75,-82,-120,-120,-93,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,-120,2
-120,-78,-76,-78,-77,-120,-120,-120,-120,-120,-120,2
-83,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-85,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-94,-120,-120,-120,-120,-120,2
-84,-120,-80,-89,-120,-120,-76,-120,-120,-120,-120,2
-120,-83,-120,-120,-77,-120,-120,-91,-120,-120,-120,2
-120,-120,-120,-120,-85,-92,-120,-120,-120,-120,-120,2
-83,-84,-76,-79,-120,-120,-91,-92,-120,-120,-120,2
-120,-76,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-89,-120,-81,-78,-83,-120,-120,-96,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-87,-120,-120,-120,-120,2
